ID	STRUCTURE	FREQUENCY	Arhuaco	Bari	Boruca	Bribri	Buglere	Cabecar	Cacaopera	CentralTunebo	Chibcha	Chimila	Cogui	Dorasque	LencaHonduras	LencaSalvador	Malayo	MalekuJaika	Mayangna	Miskito	Ngabere	Pech	Rama	SanBlasKuna	Teribe	Ulwa	COGNATESETS	CONCEPTS
210-1	V	1	Ø	a	Ø	Ø	Ø	Ø	Ø	a	Ø	Ø	a	Ø	Ø	Ø	u	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	1095:2	mother
211-1	V	1	Ø	Ø	Ø	Ø	o	Ø	Ø	Ø	Ø	Ø	o	Ø	u	o	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	1121:1	hand
218-1	V	1	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ɨ	Ø	a	Ø	Ø	Ø	ɨ	Ø	Ø	Ø	ɯ	Ø	-	Ø	Ø	a	1215:3	black
240-1	V	1	Ø	Ø	Ø	i	Ø	Ø	i	Ø	Ø	Ø	Ø	i	Ø	i	Ø	Ø	Ø	i	i	Ø	Ø	Ø	i	Ø	1383:2	small
113-8	V	8	u	u	-	u	u	u	u	u	u	Ø	u	Ø	o	u	u	u	u	Ø	ũ	u	uː	uː	Ø	u	689:0, 1057:4, 279:1, 404:0, 427:2, 489:1, 837:1, 1373:3	bark (of tree) / breast / fire / head / moon / old / white / wind
81-5	V	5	u	i	u	u	u	u	Ø	i	u	i	-	u	e	e	u	Ø	Ø	Ø	-	Ø	Ø	i	i	Ø	202:0, 919:1, 956:1, 1128:1, 1226:1	bird / child / hand / know something (v.) / sister
41-4	V	4	u	-	u	u	u	u	u	u	u	u	i	u	Ø	i	ɨ	u	u	i	ɯ	o	u	u	u	u	605:1, 659:1, 809:3, 1049:1	ash / flower / tongue / with
67-4	V	4	u	aː	i	a	-	-	Ø	a	-	Ø	a	a	Ø	Ø	ɨ	a	i	Ø	Ø	Ø	i	a	-	Ø	3:1, 226:0, 1214:3, 1234:0	black / blood / child / white
26-3	V	3	u	u	u	u	u	-	Ø	u	u	u	Ø	Ø	-	u	u	o	u	Ø	e	u	u	u	u	u	1025:1, 1179:1, 1401:3	bite (v.) / dog / wash (v.)
40-3	V	3	u	ũ	-	Ø	-	Ø	u	u	u	Ø	u	Ø	a	a	u	u	-	Ø	ɯ	u	u	u	Ø	a	220:2, 807:3, 835:0	blood / flower / sand
105-3	V	3	u	a	Ø	Ø	Ø	Ø	Ø	a	e	a	i	Ø	Ø	Ø	i	Ø	Ø	Ø	ɔ	Ø	-	iː	o	Ø	399:5, 938:1, 996:2	green / liver / smoke (substance)
4-2	V	2	u	u	u	ũ	ũ	ũ	Ø	u	u	uː	u	ũ	u	a	Ø	uː	uː	ũ	ɯ̃	uː	u	uː	ũ	uː	87:1, 90:2	feather / flea
23-2	V	2	u	a	-	Ø	a	Ø	Ø	a	a	Ø	i	Ø	u	u	u	a	u	Ø	a	u	-	a	Ø	u	835:2, 1401:1	dog / sand
165-1	V	1	u	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	u	Ø	Ø	Ø	u	uː	Ø	Ø	u	Ø	u	u	-	Ø	426:1	wind
168-1	V	1	u	-	a	Ø	Ø	ũ	Ø	Ø	ɨ	Ø	a	Ø	Ø	Ø	u	-	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	492:3	head
204-1	V	1	u	Ø	-	Ø	e	Ø	Ø	Ø	Ø	Ø	u	-	Ø	Ø	Ø	Ø	Ø	Ø	i	Ø	u	-	Ø	Ø	1074:2	cry (v.)
206-1	V	1	u	Ø	u	Ø	i	Ø	Ø	Ø	Ø	u	u	u	Ø	Ø	u	Ø	Ø	Ø	Ø	i	Ø	u	Ø	Ø	1089:1	dance (v.)
233-1	V	1	u	-	Ø	a	a	a	Ø	-	-	aː	-	Ø	Ø	Ø	u	Ø	Ø	Ø	Ø	-	-	Ø	o	Ø	1332:1	eye
235-1	V	1	u	o	u	u	Ø	u	Ø	u	u	uː	u	u	Ø	Ø	u	Ø	Ø	Ø	Ø	Ø	u	Ø	u	Ø	1364:1	ear
98-3	V	3	o	Ø	o	õ	Ø	õ	a	u	u	aː	u	u	Ø	Ø	u	u	Ø	Ø	Ø	Ø	u	Ø	Ø	Ø	631:1, 638:1, 932:1	fasten / liver / tail
43-2	V	2	o	Ø	a	Ø	Ø	-	Ø	a	a	-	i	-	Ø	Ø	a	iː	Ø	Ø	Ø	a	-	Ø	Ø	Ø	631:3, 1050:3	tail / tongue
46-2	V	2	o	o	Ø	u	-	ũ	Ø	u	Ø	Ø	Ø	u	Ø	Ø	-	uː	Ø	Ø	Ø	Ø	uː	-	Ø	Ø	115:3, 1051:1	few / tongue
74-2	V	2	o	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ɨ	Ø	a	Ø	a	-	a	Ø	Ø	Ø	-	Ø	a	Ø	Ø	a	879:3, 1215:1	bird / black
185-1	V	1	o	Ø	u	ʊ	o	o	u	u	o	u	a	o	e	e	o	a	u	Ø	u	o	u	oː	ʊ	u	775:1	two
232-1	V	1	o	Ø	o	Ø	u	Ø	Ø	Ø	Ø	o	u	Ø	Ø	Ø	ɨ	Ø	Ø	Ø	u	Ø	Ø	Ø	Ø	Ø	1323:1	hear (v.)
153-11	V	11	i	Ø	i	-	a	-	a	a	a	a	a	-	a	i	-	Ø	i	i	e	ã	Ø	e	Ø	a	1186:6, 1351:4, 17:3, 154:4, 328:2, 404:4, 527:3, 682:0, 941:5, 1024:1, 1131:4	fasten / hand / heavy / liver / old / one / red / wash (v.) / white / yellow
131-8	V	8	i	i	i	i	e	i	-	i	i	i	i	Ø	i	Ø	-	Ø	u	Ø	-	ĩ	aː	i	u	u	3:4, 130:0, 273:1, 349:1, 372:0, 700:2, 809:1, 813:2	flower / four / sand / see (v.) / sun / what / white / you (plural)
137-5	V	5	i	Ø	Ø	ɪ	i	e	i	i	a	u	i	Ø	i	a	i	i	aː	a	Ø	e	iː	Ø	Ø	i	272:3, 361:1, 399:1, 883:1, 1212:4	black / come (v.) / green / sun / worm
124-4	V	4	i	ũ	a	a	Ø	ɪ	Ø	a	u	oː	i	Ø	Ø	Ø	-	aː	Ø	Ø	-	Ø	uː	oː	i	Ø	238:3, 399:3, 842:3, 1231:1	drink (v.) / dry / fire / green
62-3	V	3	i	i	o	Ø	i	Ø	Ø	Ø	e	Ø	a	o	Ø	Ø	a	a	Ø	Ø	i	Ø	a	a	u	Ø	288:6, 349:3, 426:4	forest / wind / you (plural)
64-3	V	3	i	Ø	-	i	i	i	Ø	i	-	-	i	Ø	i	i	i	Ø	Ø	Ø	-	Ø	a	i	i	Ø	568:0, 778:0, 1159:2	he / mountain / path
21-2	V	2	i	Ø	a	ɪ	-	i	Ø	a	-	Ø	u	-	i	i	-	i	Ø	Ø	-	Ø	i	-	i	Ø	706:3, 879:1	bird / four
30-2	V	2	i	i	Ø	i	Ø	Ø	Ø	i	i	aː	Ø	i	Ø	Ø	Ø	i	Ø	Ø	-	Ø	Ø	iː	Ø	Ø	1015:3, 1061:1	large / moon
37-2	V	2	i	Ø	Ø	a	Ø	ĩ	a	a	a	Ø	a	Ø	i	Ø	i	Ø	a	Ø	-	Ø	a	i	Ø	Ø	1084:0, 1304:4	mother / new
76-2	V	2	i	Ø	a	Ø	a	Ø	Ø	Ø	a	Ø	Ø	u	Ø	Ø	e	Ø	Ø	a	e	Ø	Ø	Ø	Ø	Ø	841:3, 1189:1	fire / woman
192-1	V	1	i	a	-	ɪ	Ø	ĩ	Ø	Ø	a	Ø	i	i	Ø	Ø	-	Ø	Ø	Ø	ĩ	Ø	Ø	Ø	Ø	Ø	887:1	worm
223-1	V	1	i	-	Ø	Ø	Ø	Ø	Ø	j	-	h	s	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	1275:2	night
230-1	V	1	i	Ø	Ø	Ø	Ø	Ø	i	o	i	Ø	i	Ø	Ø	Ø	ɨ	Ø	i	Ø	-	Ø	iː	iː	Ø	Ø	1304:2	new
