ID	STRUCTURE	FREQUENCY	Apuri	Apurimac	Atalla	Ayacucho	Azuay	Chachapoyas	Chetilla	Huallaga	Huangascar	HuarazHuailas	Imbabura	Inkawasi	Jauja	Maragua	Napo	Pacaraos	Puno	Santiagueno	Yanac	COGNATESETS	CONCEPTS
148-1	C	1	ʎ	ʎ	ʎ	ʎ	ʎ	dʑ	dʑ	ʎ	ʎ	ʎ	ʎ	ʒ	ʎ	ʎ	ʎ	l	ʎ	ʒ	ʎ	527:2	moon
162-1	C	1	ʎ	Ø	ʎ	ʎ	ʎ	dʑ	dʒ	Ø	ʎ	Ø	l	dʒ	Ø	Ø	l	Ø	Ø	Ø	Ø	601:1	right (hand side)
197-1	C	1	ʎ	Ø	Ø	ʎ	ʎ	Ø	Ø	ʎ	Ø	ʎ	Ø	j	ʎ	Ø	Ø	Ø	Ø	ʒ	Ø	704:2	star
212-1	C	1	ʎ	ʎ	ʎ	ʎ	ʎ	dʑ	dʑ	ʎ	ʎ	ʎ	ʎ	dʒ	ʎ	ʎ	ʎ	ʎ	ʎ	ʒ	ʎ	759:2	tongue
172-1	C	1	ʈʂ	tʃ	tʃ	tʃ	tʃ	ʈʂ	ʈʂ	tʃ	ʈʂ	tʃ	tʃ	ʈʂ	ʈʂ	tʃ	tʃ	ʈʂ	tʃ	tʃ	ʈʂ	632:2	salt
12-10	C	10	ʈ	tʃ	tʃ	tʃ	tʃ	ʈʂ	ʈʂ	tʃ	ʈ	tʃ	tʃ	ʈʂ	ʈʂ	tʃ	tʃ	ʈʂ	tʃ	tʃ	ʈʂ	409:2, 729:0, 764:0, 84:2, 109:0, 206:3, 381:2, 441:0, 496:4, 733:0	elbow / foot / forehead / horn / know, to / leg / root / tail / ten
111-2	C	2	ʈ	Ø	Ø	Ø	Ø	Ø	Ø	tʃ	ʈ	Ø	Ø	Ø	tʃ	Ø	Ø	Ø	tʃ	Ø	tʃ	362:2, 602:4	high up / right (hand side)
27-1	C	1	ʈ	s	tʃ	tʃ	tʃ	ʈʂ	ʂ	tʃ	ʈ	tʃ	tʃ	ʈʂ	ʈʂ	ʃ	ʃ	ʈʂ	s	ʃ	tʃ	2:1	ash
238-1	C	1	ʈ	tʃ	tʃ	tʃ	ʒ	tʃ	dʒ	Ø	ʈ	Ø	tʃ	Ø	-	tʃ	dʒ	Ø	tʃ	tʃ	Ø	875:3	day
15-5	C	5	ʃ	s	s	s	ʃ	ʃ	ʃ	ʃ	ʃ	ʃ	ʃ	ʃ	ʃ	s	ʃ	ʃ	s	s	ʃ	303:2, 543:0, 3:2, 94:2, 837:4	be sick / empty / happy (be) / mouth / young (female)
51-5	C	5	ʃ	s	s	s	ʃ	ʃ	ʃ	ʃ	ʃ	ʃ	ʃ	ʃ	ʂ	s	ʃ	ʃ	s	s	ʃ	84:4, 328:0, 536:3, 557:2, 615:2	back / elbow / heart / mouse / new
201-3	C	3	ʃ	s	s	s	ʃ	ç	ʃ	ʃ	ʃ	ʃ	ʃ	ʃ	ʃ	s	Ø	ç	s	s	ʃ	713:0, 754:0, 755:2	suck, to / tire
142-2	C	2	ʃ	n	Ø	ŋ	n	n	n	ʃ	ʃ	Ø	n	n	n	n	b	-	n	n	n	514:2, 610:2	road / smoke
88-1	C	1	ʃ	s	Ø	s	ʃ	ʃ	ʃ	ʃ	ʃ	ʃ	ʃ	Ø	ʃ	s	ʃ	ʃ	s	ʃ	ʃ	276:2	bird
159-1	C	1	ʃ	Ø	Ø	Ø	Ø	Ø	Ø	n	ʃ	Ø	Ø	Ø	ʂ	Ø	Ø	-	Ø	Ø	s	588:5	old (woman)
203-1	C	1	ʃ	s	s	s	ʃ	s	ʃ	ʃ	ʃ	ʃ	ʃ	Ø	ʃ	s	ʃ	ç	s	ʃ	ʃ	721:2	sweet
213-1	C	1	ʃ	s	s	s	ʃ	ç	s	s	ʃ	ʃ	ʃ	s	ʃ	s	ʃ	ç	s	ʃ	ʃ	774:1	two
228-1	C	1	ʃ	s	s	s	Ø	ʃ	ʃ	Ø	ʃ	ʃ	Ø	ʃ	Ø	s	Ø	x	s	s	ʃ	837:0	young (female)
18-32	C	32	ɾ	r	r	ɾ	ɾ	r	r	r	ɾ	ɾ	ɾ	r	l	r	r	ɾ	r	ɾ	r	761:2, 822:2, 48:3, 640:0, 124:2, 135:2, 166:2, 182:0, 204:1, 213:2, 251:0, 268:2, 324:2, 369:2, 380:3, 399:5, 424:3, 456:3, 498:2, 532:1, 602:2, 677:2, 691:0, 692:2, 705:4, 738:2, 777:2, 781:2, 828:2, 834:2, 841:3, 852:2	bird / brother (man's) / brother (woman's) / cold / ear / egg / far (away) / fat (grease) / forehead / go, to / grass / horn / knee / leaf / man SW adult, male / mountain / rain / right (hand side) / see, to / seed / skin / speak, to / star / think (over, about), to / tooth / tree / walk, to / wing / woman / worm / yellow / young (female) / young (male)
86-4	C	4	ɾ	r	r	ɾ	ɾ	r	r	r	Ø	ɾ	ɾ	r	r	r	r	r	r	ɾ	r	260:2, 608:0, 704:4, 718:0	gold / river / star / sun
46-3	C	3	ɾ	r	r	ɾ	ɾ	r	r	r	ɾ	ɾ	ɾ	r̝	l	r̝	r	r	r	ɾ	r	68:0, 281:2, 709:0	egg / green / stone
58-3	C	3	ɾ	r	Ø	d	ɾ	r	d	r	ɾ	ɾ	ɾ	d	ʎ	Ø	j	ɾ	Ø	Ø	d	132:2, 470:2, 767:2	leaf / lip / swim, to / tree
64-3	C	3	ɾ	r	r	ɾ	r	r	r	r	ɾ	ɾ	Ø	r̝	l	l	Ø	ɾ	l	Ø	r	182:2, 424:0, 872:0	egg / leaf / wing
92-3	C	3	ɾ	r	r	ɽ	ɾ	r	r	s	ɾ	r	ɾ	r	l	r	r	Ø	r	ɾ	Ø	279:4, 621:3, 810:3	branch / elbow / green / wing
39-2	C	2	ɾ	Ø	Ø	Ø	ɾ	r	r	r	ɾ	r	ɾ	r	l	l	r	ɾ	r	l	Ø	34:2, 810:0	branch / elbow / fly, to / wing
42-2	C	2	ɾ	r	l	ɾ	ɾ	r	r	r	ɾ	ɾ	ɾ	r̝	l	l	r	ɾ	r	Ø	r	48:0, 578:0	ear / old (man) / old (woman)
138-1	C	1	ɾ	r	r	ɾ	ɾ	r	r	r	ɾ	ɲ	Ø	r	n	r	r	ɾ	r	Ø	r	507:0	man SW person
151-1	C	1	ɾ	r	r	ɾ	ɾ	r	r	r	ɾ	ɾ	ɾ	r	r	r	Ø	ɾ	r	ɾ	r̥	537:4	blood
177-1	C	1	ɾ	ɾ	ɾ	ɾ	ɾ	ɾ	ɾ	Ø	ɾ	Ø	ɾ	ɾ	Ø	ɾ	ɾ	Ø	ɾ	ɾ	Ø	652:2	sew, to
222-1	C	1	ɾ	r	j	ɾ	ɾ	r	r	r	ɾ	l	ɾ	r	l	r	j	ɾ	r	ɾ	r	798:2	white
13-2	C	2	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	n	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	12:2, 680:2	die, to / sleep, to
19-2	C	2	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	Ø	ɲ	ɲ	n	ɲ	Ø	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	665:0, 665:2	brother (man's) / sister (man's) / sister (woman's)
20-2	C	2	ɲ	ɲ	ɲ	ɲ	Ø	ɲ	ɲ	Ø	ɲ	ɳ	Ø	ɲ	ɲ	ɲ	Ø	Ø	ɲ	ɲ	Ø	697:0, 697:2	breast / suck, to
55-1	C	1	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɳ	ɲ	n	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	104:0	eye / face
104-3	C	3	ŋ	n	n	ŋ	n	n	n	n	ŋ	ɲ	n	n	n	n	n	ɴ	n	ŋ	n	328:2, 571:2, 874:1	be sick / heart / nose
29-3	C	3	Ø	χ	x	Ø	Ø	Ø	q	q	Ø	q	Ø	q	h	h	Ø	χ	x	Ø	q	3:0, 113:0, 148:2	be sick / face / seed
56-3	C	3	Ø	q	χ	χ	Ø	Ø	ʁ	χ	Ø	q	Ø	Ø	q	q	Ø	Ø	q	χ	q	113:2, 268:0, 400:2	elbow / face / grass / knee
71-2	C	2	Ø	tʃ	tʃ	tʃ	s	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ʈʂ	tʃʼ	ts	Ø	tʃʼ	tʃ	ʈʂ	212:0, 766:2	suck, to / tree
73-2	C	2	Ø	tʃ	Ø	tʃ	tʃ	tʃ	ʈʂ	tʃ	Ø	tʃ	tʃ	Ø	ʈʂ	tʃʼ	tʃ	ʈʂ	tʃʼ	t	ʈʂ	215:0, 506:1	four / small
93-2	C	2	Ø	Ø	Ø	Ø	b	Ø	Ø	b	Ø	b	b	Ø	Ø	Ø	b	b	Ø	Ø	Ø	281:0, 725:3	fly, to / green / swim, to
94-2	C	2	Ø	Ø	Ø	Ø	Ø	Ø	Ø	d	Ø	-	d	Ø	Ø	Ø	d	d	d	Ø	d	281:3, 602:0	green / right (hand side)
129-2	C	2	Ø	-	Ø	-	ʎ	ʎ	Ø	Ø	Ø	Ø	ʎ	Ø	Ø	-	ʎ	Ø	-	l	Ø	459:5, 506:3	light (not heavy) / small
186-2	C	2	Ø	s	s	s	s	s	Ø	s	Ø	s	ʃ	Ø	ʃ	s	ʃ	ŋ	ʃ	s	s	685:2, 871:3	old (man) / smoke
31-1	C	1	Ø	Ø	Ø	Ø	Ø	Ø	-	j	Ø	j	Ø	-	j	Ø	Ø	j	Ø	Ø	j	3:3	be sick
52-1	C	1	Ø	Ø	Ø	Ø	Ø	Ø	ʈʂ	tʃ	Ø	tʃ	Ø	ʈʂ	t	Ø	Ø	ʈʂ	Ø	Ø	ʈʂ	85:2	belly (stomach)
98-1	C	1	Ø	h	Ø	j	j	Ø	Ø	Ø	Ø	Ø	j	Ø	Ø	Ø	j	Ø	Ø	Ø	Ø	308:2	seed
