ID	STRUCTURE	FREQUENCY	Gyeonggi	Hwanghae	Jeju	MKorean	NChungcheong	NGyeongsang	NHamgyong	NJeolla	NPyongan	SChungcheong	SGyeongsang	SHamgyong	SJeolla	SPyongan	COGNATESETS	CONCEPTS
40-4	V	4	a	a	o	-	a	a	a	a	a	a	a	a	a	a	33:3, 38:1, 292:6, 371:3	foot / neck / seed / short
101-4	V	4	a	ɨ	ɨ	a	a	ɛ	a	Ø	Ø	a	ɛ	a	i	Ø	152:1, 227:5, 229:3, 377:0	no, not / to pull / wife / wind
46-3	V	3	a	Ø	o	ɨ	a	a	Ø	a	Ø	a	a	Ø	ə	Ø	15:1, 15:4, 172:1	red / to squeeze
67-3	V	3	a	ɛ	ɔ	a	a	a	o	a	a	a	a	o	a	a	118:1, 182:1, 338:1	leg / to fight / to suck
121-3	V	3	a	a	a	-	a	a	ə	ə	ɛ	a	a	ə	a	Ø	48:4, 262:1, 346:1	all / man/male / skin
132-3	V	3	a	Ø	Ø	ə	a	Ø	a	a	a	a	a	a	u	a	84:1, 137:4, 234:4	thin / to hunt / with
25-2	V	2	a	a	a	-	a	-	a	a	a	a	-	a	a	a	213:1, 269:5	egg / warm
37-2	V	2	a	a	a	ɨ	a	a	a	a	a	a	a	a	a	a	6:3, 35:4	person/human being / sharp
45-2	V	2	a	Ø	a	a	u	a	Ø	a	Ø	u	a	Ø	a	Ø	205:1, 230:1	to yawn / wing
94-2	V	2	a	Ø	a	o	a	a	Ø	a	Ø	a	a	o	ɨ	Ø	70:1, 306:3	head / straight
105-2	V	2	a	Ø	a	i	Ø	a	Ø	-	Ø	Ø	-	Ø	a	Ø	56:0, 238:5	below / woman/female
154-1	V	1	a	a	-	a	a	a	a	ɛ	a	a	a	a	a	a	32:3	sea
164-1	V	1	a	Ø	o	a	ə	o	Ø	a	Ø	ə	o	Ø	ə	Ø	50:1	small
239-1	V	1	a	Ø	a	a	a	Ø	a	a	Ø	ɛ	Ø	a	a	Ø	170:1	to split
244-1	V	1	a	-	a	a	a	a	-	a	-	a	a	a	a	Ø	187:2	to think
271-1	V	1	a	e	a	ə	a	e	ɨ	a	ɛ	a	ɛ	ɛ	a	e	206:3	tongue
286-1	V	1	a	Ø	a	a	a	a	Ø	a	e	a	u	Ø	u	e	223:1	white
287-1	V	1	a	Ø	a	a	a	a	Ø	a	-	a	ə	Ø	e	-	223:3	white
304-1	V	1	a	ɛ	ɛ	a	a	a	ɛ	ɛ	Ø	a	a	Ø	ɛ	ɛ	254:1	dog
305-1	V	1	a	Ø	ɔ	a	Ø	Ø	Ø	Ø	a	a	Ø	Ø	o	a	256:1	dry
323-1	V	1	a	a	a	-	a	u	Ø	u	Ø	a	a	a	a	Ø	272:4	eye
328-1	V	1	a	Ø	a	a	ɛ	ɛ	a	a	ɛ	ɛ	a	Ø	a	ɛ	276:0	father
330-1	V	1	a	Ø	a	i	i	i	ɛ	i	i	i	ɛ	Ø	i	i	276:2	father
371-1	V	1	a	Ø	Ø	a	Ø	ɛ	Ø	ɛ	Ø	ɛ	ɛ	Ø	Ø	Ø	320:1	I
374-1	V	1	a	Ø	Ø	o	a	a	Ø	o	Ø	a	Ø	Ø	o	Ø	326:0	in, inside
378-1	V	1	a	a	-	-	a	Ø	-	a	ɛ	a	Ø	-	a	a	330:5	knee
407-1	V	1	a	a	Ø	a	ɛ	ɛ	a	a	a	a	a	a	a	a	365:1	near
410-1	V	1	a	a	Ø	a	a	i	a	a	a	a	u	a	a	a	365:4	near
421-1	V	1	a	Ø	Ø	a	ɛ	a	Ø	a	a	a	a	Ø	a	a	380:4	One
118-3	V	3	-	u	Ø	Ø	ə	ə	Ø	ɛ	u	ə	ɛ	u	ə	u	53:1, 251:3, 198:3	dirty / smoke / to vomit
44-2	V	2	-	a	ɛ	-	a	ə	Ø	a	a	a	a	Ø	a	a	183:2, 334:3	child / leaf
68-2	V	2	-	Ø	ɨ	-	-	i	Ø	u	Ø	-	i	Ø	u	Ø	38:3, 355:4	meat/flesh / short
81-2	V	2	-	Ø	Ø	ɨ	ə	-	ɨ	Ø	i	-	-	ɨ	Ø	i	222:2, 265:4	dust / where?
85-2	V	2	-	Ø	-	a	Ø	i	a	a	-	Ø	i	a	a	-	183:0, 213:6	child / warm
102-2	V	2	-	a	a	-	-	Ø	ɨ	Ø	Ø	-	ə	ɨ	ə	Ø	54:7, 346:3	man/male / smooth
127-2	V	2	-	Ø	i	-	Ø	i	Ø	a	a	Ø	a	Ø	ɨ	a	84:3, 238:6	thin / woman/female
130-2	V	2	-	Ø	u	-	Ø	e	u	ɛ	Ø	Ø	i	u	ɛ	Ø	220:5, 241:3	what? / worm (earthworm)
149-1	V	1	-	Ø	-	-	u	u	Ø	Ø	Ø	u	u	Ø	u	Ø	25:3	rotten
170-1	V	1	-	Ø	ə	-	Ø	Ø	Ø	Ø	Ø	Ø	ə	Ø	ə	Ø	54:9	smooth
187-1	V	1	-	Ø	-	-	i	-	i	i	i	i	i	i	-	i	87:2	Three
214-1	V	1	-	Ø	Ø	-	Ø	ə	Ø	u	Ø	u	ə	Ø	u	Ø	134:4	to hold
237-1	V	1	-	Ø	ɨ	a	ɨ	a	a	a	a	a	ɨ	a	a	a	169:3	to spit
260-1	V	1	-	Ø	Ø	-	i	u	Ø	i	Ø	ɨ	u	Ø	-	Ø	199:3	to wash
276-1	V	1	-	ɨ	Ø	-	ɛ	ɛ	Ø	u	u	ɛ	-	ɨ	Ø	u	211:2	Two
291-1	V	1	-	Ø	-	ɨ	i	-	Ø	-	Ø	i	ɨ	Ø	u	Ø	225:3	wide
297-1	V	1	-	ə	Ø	u	ə	ə	ə	Ø	ə	ə	a	ə	a	ə	232:2	cold
311-1	V	1	-	i	i	-	i	i	i	u	i	i	-	i	i	i	267:4	ear
339-1	V	1	-	Ø	Ø	-	ɨ	-	Ø	u	Ø	u	i	Ø	Ø	Ø	284:3	Fifty
346-1	V	1	-	i	Ø	-	i	-	Ø	i	i	i	-	Ø	-	i	293:2	Four
356-1	V	1	-	Ø	Ø	i	-	ɛ	Ø	ə	ə	-	e	Ø	ə	ə	303:3	hair
368-1	V	1	-	Ø	ɛ	-	ɛ	ɛ	Ø	ɛ	Ø	ɛ	ɛ	Ø	Ø	Ø	314:4	house
381-1	V	1	-	i	i	-	u	i	Ø	u	i	i	i	Ø	-	i	334:5	leaf
426-1	V	1	-	Ø	Ø	-	-	i	i	i	Ø	e	i	i	-	Ø	384:6	bark (of a tree)
