ID	STRUCTURE	FREQUENCY	Gyeonggi	Hwanghae	Jeju	MKorean	NChungcheong	NGyeongsang	NHamgyong	NJeolla	NPyongan	SChungcheong	SGyeongsang	SHamgyong	SJeolla	SPyongan	COGNATESETS	CONCEPTS
262-1	C	1	-	Ø	n	Ø	n	s	Ø	Ø	Ø	Ø	s	Ø	n	Ø	200:5	to wipe
273-1	C	1	-	-	l	-	-	-	-	ɟ	-	-	d	-	l	-	207:1	tooth
280-1	C	1	-	Ø	-	s	Ø	s	s	Ø	-	Ø	s	s	Ø	-	213:4	warm
310-1	C	1	-	t	t	-	t͈	k͈	t͈	g	t͈	t͈	-	t͈	t͈	t͈	267:3	ear
357-1	C	1	-	Ø	Ø	-	-	g	Ø	k	g	-	g	Ø	k	g	303:4	hair
366-1	C	1	-	Ø	p	-	p	p	Ø	p	Ø	p	p	Ø	Ø	Ø	314:2	house
380-1	C	1	-	g	ŋ	-	g	ɾ	Ø	g	g	g	ɾ	Ø	k	g	334:4	leaf
387-1	C	1	-	n	n	n	Ø	Ø	n	-	n	Ø	Ø	-	-	n	342:0	louse
395-1	C	1	-	Ø	Ø	-	Ø	k͈	Ø	Ø	Ø	Ø	k	Ø	g	Ø	355:3	meat/flesh
420-1	C	1	-	Ø	Ø	-	k	n	Ø	n	n	n	n	Ø	n	n	380:3	One
423-1	C	1	-	Ø	Ø	t	-	t͈	tɕ	t	Ø	t	t	tɕ	tɕ	Ø	384:3	bark (of a tree)
