ID	STRUCTURE	FREQUENCY	jugankhanty	kazymkhanty	kondakhanty	kondamansi	likrisovskojekhanty	malyjjugankhanty	middlelozvamansi	nizjamkhanty	northmansi	obdorskkhanty	pelymkamansi	sherkalykhanty	synjakhanty	tavdamansi	tremjugankhanty	upperdemjankakhanty	vakhkhanty	vartovskojekhanty	vasjugankhanty	verkhnekalymskkhanty	COGNATESETS	CONCEPTS
126-1	V	1	Ø	Ø	Ø	ɔː	Ø	Ø	oɔ	Ø	aː	Ø	ɔː	Ø	Ø	æː	Ø	Ø	Ø	Ø	Ø	Ø	65:1	say
133-1	V	1	Ø	Ø	Ø	o	Ø	Ø	u	Ø	uː	Ø	u	Ø	Ø	oː	Ø	Ø	Ø	Ø	Ø	Ø	74:0	sit
134-1	V	1	Ø	Ø	Ø	i	Ø	Ø	y	Ø	Ø	Ø	i	Ø	Ø	u	Ø	Ø	Ø	Ø	Ø	Ø	81:0	small
135-1	V	1	Ø	ə	Ø	ə	Ø	Ø	-	ə	i	ə	-	Ø	ə	ə	Ø	Ø	Ø	Ø	Ø	Ø	87:3	smoke
140-1	V	1	Ø	Ø	Ø	ɔu	Ø	Ø	ɔ	Ø	ɔ	Ø	ɔu	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	92:1	star
145-1	V	1	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	yː	Ø	yː	yː	97:1	sun
146-1	V	1	Ø	ɵː	uː	u	Ø	Ø	u	uː	u	oː	u	uː	uː	u	Ø	uː	ɔː	Ø	Ø	Ø	98:0	swim
148-1	V	1	Ø	Ø	Ø	Ø	Ø	Ø	a	Ø	a	Ø	æ	Ø	Ø	a	Ø	Ø	Ø	Ø	Ø	Ø	104:1	that
159-1	V	1	Ø	Ø	Ø	ə	Ø	Ø	i	Ø	i	Ø	i	Ø	Ø	ə	Ø	Ø	Ø	Ø	Ø	Ø	114:0	warm
168-1	V	1	Ø	Ø	Ø	ə	Ø	Ø	Ø	Ø	Ø	Ø	i	Ø	Ø	a	Ø	Ø	Ø	Ø	Ø	Ø	125:4	white
172-1	V	1	Ø	Ø	Ø	ɔ	Ø	Ø	ɔ	Ø	ɔ	Ø	ɔ	Ø	Ø	o	Ø	Ø	Ø	Ø	Ø	Ø	130:1	far
174-1	V	1	Ø	Ø	Ø	æ	Ø	Ø	æ	Ø	æ	Ø	æ	Ø	Ø	o	Ø	Ø	Ø	Ø	Ø	Ø	130:3	far
176-1	V	1	Ø	aː	aː	Ø	Ø	Ø	Ø	aː	Ø	iː	Ø	Ø	Ø	Ø	ə	aː	ə	Ø	ə	Ø	131:3	far
179-1	V	1	Ø	Ø	Ø	i	Ø	Ø	æ	Ø	Ø	Ø	ɨ	Ø	Ø	u	Ø	Ø	Ø	Ø	Ø	Ø	136:2	near
182-1	V	1	Ø	Ø	Ø	uː	Ø	Ø	uː	Ø	Ø	Ø	uː	Ø	Ø	oː	Ø	Ø	Ø	Ø	Ø	Ø	143:0	short
185-1	V	1	Ø	Ø	Ø	o	Ø	Ø	o	Ø	ɔː	Ø	o	Ø	Ø	ɔ	Ø	Ø	Ø	Ø	Ø	Ø	144:1	snake
186-1	V	1	Ø	Ø	Ø	ɨ	Ø	Ø	i	Ø	ɨ	Ø	i	Ø	Ø	u	Ø	Ø	Ø	Ø	Ø	Ø	144:3	snake
192-1	V	1	Ø	Ø	Ø	oɔ	Ø	Ø	oɔ	Ø	aː	æ	ɔː	a	a	eː	Ø	Ø	Ø	Ø	Ø	Ø	160:1	year
201-1	V	1	Ø	Ø	Ø	a	Ø	Ø	æ	Ø	a	Ø	æ	Ø	Ø	i	Ø	Ø	Ø	Ø	Ø	Ø	174:0	cold
203-1	V	1	Ø	Ø	Ø	ə	Ø	Ø	e	Ø	e	Ø	ə	Ø	Ø	i	Ø	Ø	Ø	Ø	Ø	Ø	174:2	cold
205-1	V	1	Ø	Ø	Ø	oː	Ø	Ø	ɔ	Ø	ɔː	Ø	oː	Ø	Ø	ɔ	Ø	Ø	Ø	Ø	Ø	Ø	176:1	die
208-1	V	1	Ø	aː	æː	Ø	Ø	Ø	Ø	aː	Ø	eː	Ø	aː	i	Ø	eː	æː	Ø	Ø	Ø	Ø	185:1	drink
