ID	STRUCTURE	FREQUENCY	abui	adang	blagar	kaera	kamang	klon	kui	nedebang	protoalorpantar	sawila	teiwa	wersing	westernpantar	COGNATESETS	CONCEPTS
46-3	V	3	a	-	a	i	i	ɑ	-	-	-	a	-	a	u	35:4, 2095:1, 2330:4	chicken / egg / fire
82-3	V	3	a	i	-	-	e	ɪ	e	u	Ø	i	o	e	a	276:1, 929:2, 1433:3	head / root / to count
93-3	V	3	a	a	o	u	a	ə	a	Ø	-	a	o	e	a	343:1, 1433:1, 1465:1	horn / to count / to dance
105-3	V	3	a	a	e	e	Ø	ɛ	a	-	e	Ø	e	-	-	440:1, 911:1, 1354:3	bedbug / leaf / thick
129-3	V	3	a	i	a	u	-	u	o	Ø	Ø	Ø	a	Ø	a	645:1, 1113:3, 1781:3	mouth / sky / to walk
139-3	V	3	a	ɛ	a	-	i	Ø	-	a	-	a	i	i	u	734:3, 801:6, 1156:4	bird / old (people) / papaya
144-3	V	3	a	i	e	e	a	-	a	Ø	a	ɑ	ə	a	a	775:1, 824:0, 1358:1	bat / rain / thin
178-3	V	3	a	a	a	a	a	a	a	a	a	a	o	a	u	1006:1, 1278:3, 2018:1	bitter / bride price / sea/salt water
185-3	V	3	a	o	-	u	u	ʊ	u	u	u	u	u	u	u	1065:1, 1332:4, 2244:1	dog / short / ten
202-3	V	3	a	a	a	a	a	ə	a	a	a	Ø	a	Ø	a	1165:1, 1575:1, 2264:1	dry / spear / to kill
235-3	V	3	a	a	a	a	-	ɑ	a	a	a	a	a	e	e	1332:1, 1342:2, 2337:1	black / eleven / ten
253-3	V	3	a	a	-	e	a	ə	e	a	Ø	Ø	a	Ø	a	1430:1, 1527:1, 1887:3	to count / to flow / white
111-2	V	2	a	a	i	e	a	ɑ	a	-	i	-	-	a	-	472:1, 1108:3	lie down / six
131-2	V	2	a	a	e	e	e	ə	e	e	a	a	Ø	e	i	664:1, 1739:1	bone / name
138-2	V	2	a	a	a	o	a	ɑ	a	a	a	a	a	a	a	717:4, 1297:3	new (house) / swim
154-2	V	2	a	-	-	o	a	u	a	Ø	-	o	a	a	Ø	823:0, 2106:3	chin / rain
175-2	V	2	a	ɛ	u	a	Ø	ɛ	a	u	Ø	Ø	Ø	Ø	Ø	1000:1, 1196:1	scratch / stab
197-2	V	2	a	u	a	a	a	-	a	a	-	Ø	a	o	i	1144:3, 2349:3	eye / smooth
220-2	V	2	a	ɛ	e	i	a	a	Ø	e	a	a	a	i	Ø	1252:1, 2180:3	coral (rock) / sun
226-2	V	2	a	a	a	o	u	-	Ø	Ø	a	o	a	a	u	1292:3, 2106:4	chin / swell
237-2	V	2	a	a	-	-	Ø	ɑ	a	-	a	a	a	a	Ø	1342:0, 2264:3	black / dry
254-2	V	2	a	ɛ	a	-	-	-	i	a	a	i	-	i	i	1433:5, 1539:4	to count / to give
349-2	V	2	a	i	ə	u	-	e	Ø	Ø	-	a	-	e	Ø	2106:1, 2139:3	chin / climb
47-1	V	1	a	aː	a	a	a	ə	e	a	a	a	a	a	a	38:0	fish
114-1	V	1	a	aː	a	a	a	ə	o	-	a	Ø	o	o	a	498:0	lime
203-1	V	1	a	Ø	a	i	a	ɑ	a	Ø	a	Ø	Ø	Ø	i	1165:3	spear
230-1	V	1	a	a	ə	u	-	ə	a	u	u	Ø	u	Ø	a	1329:1	teeth
242-1	V	1	a	e	e	Ø	Ø	e	a	e	a	Ø	a	Ø	a	1345:1	thatch
275-1	V	1	a	Ø	e	Ø	i	ɪ	i	Ø	Ø	i	Ø	Ø	Ø	1551:3	to hear
279-1	V	1	a	-	a	o	-	-	a	i	-	Ø	-	Ø	i	1564:3	to hold
289-1	V	1	a	aː	a	a	a	-	Ø	Ø	a	Ø	Ø	Ø	a	1637:1	to pound
306-1	V	1	a	a	Ø	a	Ø	ə	a	ə	-	Ø	e	Ø	a	1806:1	tongue
310-1	V	1	a	i	e	e	Ø	ə	e	e	e	Ø	e	Ø	Ø	1818:1	tree
313-1	V	1	a	-	-	-	Ø	ə	o	Ø	a	Ø	-	Ø	a	1829:0	two
351-1	V	1	a	a	-	o	Ø	a	Ø	Ø	a	a	-	Ø	Ø	2123:0	civet cat
354-1	V	1	a	a	e	a	a	Ø	Ø	a	a	a	a	a	Ø	2157:1	coconut
357-1	V	1	a	aː	Ø	-	Ø	ə	a	-	-	a	-	a	Ø	2176:0	cooked rice
359-1	V	1	a	a	Ø	a	Ø	ɑ	a	-	-	a	-	a	Ø	2176:2	cooked rice
361-1	V	1	a	a	Ø	a	i	ə	Ø	Ø	a	Ø	a	Ø	a	2208:1	crocodile
362-1	V	1	a	a	Ø	a	e	ɑ	Ø	Ø	a	Ø	a	Ø	a	2208:3	crocodile
371-1	V	1	a	Ø	Ø	u	-	ə	Ø	o	u	-	u	e	a	2284:1	ear
388-1	V	1	a	a	a	a	-	-	a	a	-	a	ə	e	a	2370:1	arm
389-1	V	1	a	a	a	a	a	a	a	a	a	a	a	e	a	2370:3	arm
57-3	V	3	-	ɛ	i	a	Ø	ɛ	e	a	-	u	ə	i	-	88:3, 390:1, 1003:3	float / knee / scratch
