ID	STRUCTURE	FREQUENCY	Beijing	Changsha	Chengdu	Guangzhou	Guixian	Hangzhou	Hefei	Jinan	Kunming	Meixian	Nanchang	Shanghai	Shexian	Taiyuan	Xiamen	COGNATESETS	CONCEPTS
77-2	C	2	kʰ	k	kʰ	kʰ	kʰ	g	kʰ	Ø	Ø	kʰ	kʰ	g	kʰ	kʰ	kʰ	365:0, 831:9	sunflower
380-1	C	1	kʰ	kʰ	Ø	h	kʰ	kʰ	kʰ	Ø	kʰ	Ø	k	Ø	Ø	Ø	Ø	564:4	doorsills
438-1	C	1	kʰ	kʰ	kʰ	-	kʰ	Ø	kʰ	kʰ	Ø	Ø	kʰ	kʰ	Ø	kʰ	Ø	734:0	chopsticks
98-12	C	12	k	k	k	k	k	k	k	k	k	k	k	k	k	k	k	170:0, 232:0, 260:0, 392:3, 587:3, 672:0, 678:0, 759:4, 772:0, 795:3, 797:3, 883:3	and / blow / catch a cold / classifier (vehicle) / clean / daughter / how / husband / spoon / that / this / what kind of / who
166-2	C	2	k	k	k	Ø	-	k	k	tɕ	k	k	k	Ø	tɕ	k	k	545:0, 664:0	just right / on purpose
330-1	C	1	k	tɕ	tɕ	k	k	Ø	k	k	k	k	tɕ	k	tɕ	k	Ø	411:0	rooster
164-21	C	21	j	j	j	-	j	j	j	j	j	j	j	j	j	-	-	191:1, 192:1, 10:4, 181:5, 349:8, 424:1, 424:5, 607:1, 607:6, 211:1, 211:5, 44:4, 116:0, 289:1, 305:4, 408:1, 496:1, 499:4, 560:1, 650:1, 723:0	breakfast / classifier (cow) / classifier (pillow) / father / inside / knee / left / leg / noodles / on / on purpose / outside / rain / salt / snow / spoon / under
94-12	C	12	j	j	j	j	j	-	-	-	-	j	j	-	-	j	j	277:5, 456:2, 434:7, 546:4, 256:1, 302:6, 304:2, 349:2, 444:6, 550:5, 686:1, 734:3	cabbage / chopsticks / classifier (pig) / here / husband / left / outside / right / spinach / sun / thunder (verb) / what kind of / where
227-11	C	11	j	j	j	Ø	-	-	-	j	j	-	j	j	j	j	-	170:3, 566:2, 212:4, 466:4, 179:3, 256:8, 434:0, 526:1, 612:0, 759:1, 840:4	boy / daughter / leg / right / salt / son / spoon / supper / there / thunder (verb) / where / who
3-6	C	6	j	j	j	-	j	j	j	j	j	j	j	j	j	j	-	78:1, 300:1, 311:1, 449:1, 602:4, 804:1	bedbug / daughter / face / girl / moon / mother / nine / soya sauce / well smelling
204-6	C	6	j	-	j	-	j	j	j	j	j	j	Ø	j	-	j	j	71:5, 239:1, 382:0, 733:5, 831:1, 840:1	beggar / doctor / in the middle / salt / sunflower / today
4-5	C	5	j	j	j	-	j	j	j	j	j	j	j	-	-	j	-	157:1, 265:1, 601:4, 661:1, 687:5	cheap / face / noodles / outside / sweet / this year
16-2	C	2	j	j	j	j	j	-	-	j	j	Ø	-	-	-	j	Ø	300:5, 365:3	soya sauce / sunflower
39-2	C	2	j	j	j	Ø	j	j	-	j	Ø	Ø	-	-	-	-	Ø	563:1, 870:5	thunder (verb) / under
43-2	C	2	j	j	j	j	j	j	j	j	j	j	j	j	Ø	j	j	224:0, 511:0	chimney / right / right hand
50-2	C	2	j	-	j	Ø	j	j	j	j	j	-	-	-	-	j	Ø	177:4, 659:4	fingernail / self
110-2	C	2	j	j	j	j	j	j	j	j	j	j	j	-	j	Ø	j	320:0, 611:0	chimney / salt
169-2	C	2	j	p	j	-	j	b	j	j	-	Ø	pʰ	b	pʰ	j	p	219:0, 712:1	beggar / classifier (vehicle)
305-1	C	1	j	j	j	-	j	j	j	j	j	j	j	j	-	j	-	306:3	twenty / two / two ounces
324-1	C	1	j	Ø	Ø	Ø	Ø	Ø	j	m	Ø	Ø	Ø	Ø	Ø	Ø	j	358:4	how
328-1	C	1	j	-	-	-	j	j	j	j	j	-	-	-	-	j	j	385:1	salty
343-1	C	1	j	j	j	j	j	j	j	j	j	Ø	-	j	j	j	j	456:4	sun
403-1	C	1	j	Ø	j	-	j	j	-	Ø	j	j	j	j	Ø	Ø	j	646:1	freeze
475-1	C	1	j	m	m	m	m	Ø	Ø	j	m	Ø	m	m	m	m	Ø	816:0	sparrow
479-1	C	1	j	j	ɥ	-	j	Ø	Ø	ɥ	j	Ø	j	j	j	ɥ	Ø	816:4	sparrow
492-1	C	1	j	-	-	Ø	-	ʔ	ʔ	j	-	Ø	ʔ	ʔ	Ø	ʔ	Ø	843:2	wheat
112-11	C	11	f	f	f	f	f	v	f	f	f	f	f	v	f	f	p	5:0, 339:4, 382:7, 465:3, 494:3, 507:3, 532:0, 612:3, 641:3, 645:6, 762:4	beggar / breakfast / cook / house / kitchen / left hand / lunch / supper / wife
97-4	C	4	f	x	f	f	Ø	f	f	f	f	f	f	f	f	f	h	232:4, 273:4, 396:0, 747:3	blow / catch a cold / sweet potato
472-1	C	1	f	Ø	f	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	f	Ø	787:5	lunch
31-12	C	12	-	-	-	t	-	ʔ	ʔ	-	-	t	ʔ	ʔ	ʔ	ʔ	t	266:4, 472:5, 485:2, 584:1, 82:1, 82:5, 184:3, 390:2, 556:6, 646:3, 831:7, 885:5	and / bedbug / dirty / eleven / first / freeze / moon / one / seven / sunflower
170-8	C	8	-	m	m	m	m	m	m	m	m	Ø	m	m	m̩	m	b	9:3, 821:3, 434:6, 546:3, 178:3, 211:4, 400:3, 462:4	left / nurse / right / they / under / we / wife / window / you
174-8	C	8	-	n	n	n	n	n	n	-	-	Ø	n	ŋ	-	ʔ	n	9:5, 821:5, 116:2, 178:5, 462:6, 530:5, 532:2, 642:5	breakfast / husband / left hand / salt / they / we / window / you
14-3	C	3	-	-	-	p	-	ʔ	ʔ	-	-	p	ʔ	ʔ	-	ʔ	p	472:2, 720:2, 660:2	eleven / nose / ten
10-2	C	2	-	-	-	t	-	ʔ	ʔ	-	-	t	ʔ	ʔ	ʔ	ʔ	ʔ	144:7, 702:2	eight / snow
61-2	C	2	-	-	Ø	t	Ø	Ø	ʔ	-	-	t	ʔ	ʔ	-	ŋ	t	225:3, 230:6	sun / today
162-2	C	2	-	p	p	f	p	p	p	-	p	-	-	p	p	Ø	Ø	321:0, 452:4	father / hail / old man
289-1	C	1	-	-	Ø	j	Ø	Ø	-	-	-	ŋ	ɲ	ɲ	n	Ø	l	225:0	sun
321-1	C	1	-	m	-	m	-	s	Ø	t	-	Ø	m	m	m	-	m	356:3	father / mother / right hand
366-1	C	1	-	ɕ	p	pʰ	m	b	tʰ	j	pʰ	pʰ	pʰ	-	-	-	Ø	548:3	father / mother / mouse / old man / sun / wife
451-1	C	1	-	-	-	t	-	ʔ	ʔ	-	-	t	ʔ	ʔ	-	ʔ	ʔ	748:2	hot
